interaction_id,comment_id,likes_count,timestamp,user_id,post_id,interaction_type,platform,topic,label_source,label
1,Ugwx_UBFShYeASExmdV4AaABAg,0,1764720000,yt_user_KrishanDharmasiri,yt_video_1,comment,youtube,politics,manual,Disinfo
2,UgziEr4CRmhpQ2ZjVXF4AaABAg,0,1764547200,yt_user_DeepalFernando-k2p,yt_video_1,comment,youtube,politics,manual,Hate
3,UgwdqopqykabZA_I0rN4AaABAg,0,1764460800,yt_user_gemunugemunu8698,yt_video_1,comment,youtube,politics,manual,Normal
4,UgxXeF6fHtvEIWPExq54AaABAg,1,1764460800,yt_user_alawagedagoa,yt_video_1,comment,youtube,politics,manual,Normal
5,UgygXeXvB1BimoBrc254AaABAg,0,1764460800,yt_user_kithsirigeethakumara8533,yt_video_1,comment,youtube,politics,manual,Normal
6,UgwPY660tLHxRFv1OBl4AaABAg,0,1764460800,yt_user_LeelasiriEdirisingha,yt_video_1,comment,youtube,politics,manual,Normal
7,UgyVo4BcH7pB_eK8WP14AaABAg,0,1764374400,yt_user_padhmalpeiris,yt_video_1,comment,youtube,politics,manual,Hate
8,UgwTB4ll3biDwmD7sVl4AaABAg,1,1764374400,yt_user_syndi-w3k,yt_video_1,comment,youtube,politics,manual,Disnfo
9,Ugwn3dikAK3ob48rqZx4AaABAg,0,1764374400,yt_user_ChammiWasantha,yt_video_1,comment,youtube,politics,manual,Disinfo
10,UgybZEIg6GlkFb8EIwt4AaABAg,2,1764201600,yt_user_TharinduKodagoda,yt_video_1,comment,youtube,politics,manual,Normal
11,UgyRCU9UeY3CJOR32OF4AaABAg,0,1764201600,yt_user_ashokaherath783,yt_video_1,comment,youtube,politics,manual,Normal
12,UgwyYzUlV8PYp21MT8F4AaABAg,2,1764201600,yt_user_ගමගාල්ල,yt_video_1,comment,youtube,politics,manual,Normal
13,UgxwkylOqMabBX5jFsN4AaABAg,2,1764201600,yt_user_ගමගාල්ල,yt_video_1,comment,youtube,politics,manual,Disinfo
